timestamp,ticks,rpm
1785949534.456,0,0.000
1785949534.660,0,0.000
1785949534.863,0,0.000
1785949535.068,0,0.000
1785949535.271,0,0.000
1785949535.474,0,0.000
1785949535.676,0,0.000
1785949535.878,0,0.000
1785949536.080,0,0.000
1785949536.282,0,0.000
1785949536.485,0,0.000
1785949536.688,0,0.000
1785949536.892,0,0.000
1785949537.096,0,0.000
1785949537.300,0,0.000
1785949537.503,0,0.000
1785949537.706,0,0.000
1785949537.910,0,0.000
1785949538.115,0,0.000
1785949538.320,0,0.000
1785949538.524,0,0.000
1785949538.727,0,0.000
1785949538.930,0,0.000
1785949539.134,0,0.000
1785949539.338,0,0.000
1785949539.542,0,0.000
1785949539.746,0,0.000
1785949539.952,0,0.000
1785949540.156,0,0.000
1785949540.360,0,0.000
1785949540.565,0,0.000
1785949540.769,0,0.000
1785949540.972,0,0.000
1785949541.175,0,0.000
1785949541.378,0,0.000
1785949541.583,0,0.000
1785949541.785,0,0.000
1785949541.990,0,0.000
1785949542.195,0,0.000
1785949542.401,0,0.000
1785949542.606,0,0.000
1785949542.810,0,0.000
1785949543.015,0,0.000
1785949543.219,0,0.000
1785949543.424,34,0.000
1785949543.629,48,47.964
1785949543.834,48,0.000
1785949544.039,48,0.000
1785949544.243,85,41.658
1785949544.448,88,114.719
1785949544.651,97,0.000
1785949544.856,116,75.205
1785949545.061,118,0.000
1785949545.265,128,16.668
1785949545.470,148,16.780
1785949545.674,149,0.000
1785949545.878,164,112.500
1785949546.082,180,61.496
1785949546.286,191,0.000
1785949546.491,192,7.502
1785949546.695,159,-129.967
1785949546.900,160,7.490
1785949547.103,146,0.000
1785949547.306,132,-67.497
1785949547.509,128,-33.462
1785949547.713,145,0.000
1785949547.917,162,127.490
1785949548.120,161,89.995
1785949548.323,136,34.197
1785949548.526,136,-7.492
1785949548.728,137,0.000
1785949548.932,145,7.500
1785949549.134,148,59.993
1785949549.337,142,14.921
1785949549.540,131,-112.568
1785949549.742,140,-45.825
1785949549.945,130,0.000
1785949550.150,138,-15.064
1785949550.355,140,75.649
1785949550.559,140,3.941
1785949550.762,140,0.000
1785949550.965,140,0.000
1785949551.168,140,0.000
1785949551.371,140,0.000
1785949551.573,140,0.000
1785949551.778,140,0.000
1785949551.981,140,0.000
1785949552.184,140,0.000
1785949552.389,140,0.000
1785949552.593,140,0.000
1785949552.799,140,0.000
1785949553.005,140,0.000
1785949553.211,140,0.000
1785949553.415,140,0.000
1785949553.620,140,0.000
1785949553.825,140,0.000
1785949554.029,140,0.000
1785949554.234,140,0.000
1785949554.439,140,0.000
1785949554.644,140,0.000
1785949554.848,140,0.000
1785949555.053,140,0.000
1785949555.258,140,0.000
1785949555.462,140,0.000
1785949555.666,140,0.000
1785949555.870,140,0.000
1785949556.074,140,0.000
1785949556.276,140,0.000
1785949556.480,140,0.000
1785949556.686,140,0.000
1785949556.890,140,0.000
1785949557.095,140,0.000
1785949557.300,140,0.000
1785949557.505,140,0.000
1785949557.709,140,0.000
1785949557.913,140,0.000
1785949558.117,120,-134.423
1785949558.322,132,8.367
1785949558.525,146,89.996
1785949558.728,148,16.664
1785949558.930,148,0.000
1785949559.134,148,0.000
1785949559.338,148,0.000
1785949559.543,148,0.000
1785949559.751,148,0.000
1785949559.956,143,0.000
1785949560.159,143,0.000
1785949560.362,144,6.840
1785949560.567,144,0.000
1785949560.772,144,0.000
1785949560.983,144,0.000
1785949561.192,144,0.000
1785949561.398,144,0.000
1785949561.601,144,0.000
1785949561.805,144,0.000
1785949562.010,144,0.000
1785949562.218,144,0.000
1785949562.421,144,0.000
1785949562.623,144,0.000
1785949562.825,144,0.000
1785949563.029,144,0.000
1785949563.234,144,0.000
1785949563.438,144,0.000
1785949563.640,144,0.000
1785949563.842,144,0.000
1785949564.044,144,0.000
1785949564.246,144,0.000
1785949564.449,144,0.000
1785949564.652,144,0.000
1785949564.856,144,0.000
1785949565.058,144,0.000
1785949565.261,144,0.000
1785949565.465,144,0.000
1785949565.669,144,0.000
1785949565.873,144,0.000
1785949566.078,144,0.000
1785949566.283,144,0.000
1785949566.487,144,0.000
1785949566.690,144,0.000
1785949566.894,144,0.000
1785949567.097,144,0.000
1785949567.301,144,0.000
1785949567.506,144,0.000
1785949567.711,144,0.000
1785949567.916,145,0.000
1785949568.119,148,20.462
1785949568.323,148,0.000
1785949568.528,144,-7.478
1785949568.733,144,0.000
1785949568.938,140,-8.303
1785949569.142,142,0.000
1785949569.347,148,45.000
1785949569.552,149,0.000
1785949569.756,152,7.491
1785949569.960,147,22.500
1785949570.164,142,-27.364
1785949570.369,140,-7.475
1785949570.575,148,0.000
1785949570.780,151,8.785
1785949570.984,144,-22.518
1785949571.189,144,0.000
1785949571.393,144,0.000
1785949571.599,144,0.000
1785949571.804,144,0.000
1785949572.007,144,0.000
1785949572.213,144,0.000
1785949572.418,144,0.000
1785949572.625,144,0.000
1785949572.829,144,0.000
1785949573.034,144,0.000
1785949573.240,144,0.000
1785949573.444,144,0.000
1785949573.649,144,0.000
1785949573.854,144,0.000
